,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-6.131544574,0.040253515,-7.07240799,0.068821999,-7.190283086,0.072963157,-7.906554296,0.079253304,0.110045707
2,-6.341631402,0.045842991,-6.576715399,0.062666284,-7.146089271,0.075184149,-7.466380689,0.071090541,0.107630473
3,-6.858670237,0.057264303,-6.188992657,0.055779677,-6.221920932,0.054867183,-7.690034609,0.075145212,0.104795042
4,-6.380390308,0.047653254,-6.53633181,0.060643282,-6.889408451,0.067370938,-8.145048833,0.082731938,0.126070363
5,-6.678247085,0.053609403,-6.389226628,0.056599216,-7.899298348,0.085697228,-7.837997108,0.077703795,0.113055285
6,-5.67239139,0.03572165,-6.783873781,0.064988795,-6.98158519,0.068915151,-8.627433957,0.091746024,0.100291598
7,-6.100064502,0.043121015,-6.821476671,0.06503106,-6.532508107,0.062771709,-8.05111611,0.079575128,0.091365906
8,-5.992158288,0.041294054,-6.608405305,0.060012358,-7.511212736,0.079325678,-7.551566825,0.073166816,0.091021796
9,-5.980366444,0.038358373,-6.680912672,0.063627166,-6.841267499,0.067279543,-8.201575697,0.082552262,0.113321053
10,-6.170995295,0.043973865,-5.873538769,0.04891367,-6.95530761,0.070220501,-8.399292341,0.087008095,0.109584109
11,-6.45145875,0.047591262,-6.525612942,0.059704437,-6.775460934,0.064160431,-7.669838558,0.073829869,0.088512112
12,-6.801274643,0.056889235,-5.803801955,0.045001304,-6.777997511,0.063806562,-8.374063825,0.087123734,0.111351994
13,-6.57348668,0.050870231,-5.600936576,0.042341055,-7.110370507,0.074725276,-7.848940527,0.078909551,0.089159271
14,-6.260346515,0.044593657,-6.532081413,0.061057532,-6.52698166,0.062962303,-7.420525063,0.06873783,0.093835277
15,-6.106376743,0.040727963,-6.790030749,0.065388564,-7.163998451,0.072648478,-7.904827559,0.079287727,0.084737786
16,-6.607319523,0.050864632,-7.130396983,0.069328383,-7.605929433,0.079434612,-8.183475309,0.083536718,0.091383529
17,-6.96867254,0.058553192,-6.623796831,0.063730608,-6.524791333,0.063779145,-7.540137137,0.07108145,0.098079079
18,-6.049312279,0.041179314,-7.28153019,0.074042473,-7.968655363,0.088549666,-8.574844175,0.089331875,0.106725061
19,-6.495559705,0.050151039,-6.215321491,0.059545192,-6.743833427,0.065093705,-7.882155958,0.077672303,0.097751578
20,-6.212378386,0.046879761,-6.719698425,0.063607911,-7.612186059,0.084673979,-7.951331008,0.078243264,0.097726214
21,-6.63577162,0.052139505,-6.04678664,0.053816025,-6.446381857,0.058977861,-7.87648868,0.078078178,0.094916108
22,-6.589147583,0.053226531,-7.084439986,0.07149005,-7.09962825,0.072322667,-8.461877601,0.088455801,0.091191501
23,-6.33972331,0.048708633,-6.961532857,0.070428272,-7.729062123,0.081752315,-7.744742038,0.072587066,0.08907138
24,-7.304132066,0.06598824,-6.597080014,0.061095995,-6.93143135,0.069579062,-8.312206526,0.084744786,0.088922368
25,-6.19793329,0.043706508,-6.460793822,0.060106266,-6.266334476,0.056413329,-8.105793161,0.082148708,0.101851208
26,-5.950066395,0.039646392,-6.832502309,0.065504762,-6.917422044,0.067496817,-8.024811023,0.0837275,0.108065685
27,-6.644624414,0.049471825,-6.33596539,0.058013303,-6.166183337,0.053859285,-8.207014131,0.082204739,0.089692226
28,-7.14132402,0.059413235,-6.263414805,0.05454654,-7.326101749,0.076669637,-7.875179145,0.078051569,0.102569832
29,-6.382907836,0.049275789,-5.927826894,0.050070206,-7.011880474,0.07066278,-8.128620999,0.082003798,0.106351004
30,-7.032710975,0.057387509,-6.694525524,0.06342232,-6.641845684,0.063592329,-7.278577531,0.067218193,0.094688559
31,-6.330413106,0.043407042,-6.663581006,0.063472931,-7.592097911,0.080848513,-8.079348764,0.080723337,0.093335271
32,-6.188184075,0.044289646,-6.172448874,0.054155946,-7.475507691,0.079728977,-8.078440303,0.083053277,0.097936723
33,-6.995768831,0.059206629,-6.600894168,0.060981437,-6.895096609,0.068308399,-8.043065825,0.078374135,0.110727278
34,-6.545067079,0.049598874,-6.971644381,0.068751218,-7.084782412,0.072065954,-7.660544213,0.074011971,0.115333247
35,-7.397995059,0.06536995,-6.507317116,0.060480399,-7.733640847,0.084137035,-7.927122977,0.076831555,0.104131592
36,-6.625217402,0.05239771,-6.691199494,0.06359582,-7.24711699,0.073839482,-7.459833707,0.06981664,0.106884777
37,-6.159623531,0.043079539,-6.68538964,0.062575382,-6.925610187,0.071580275,-7.086166418,0.064378496,0.117497199
38,-6.70536725,0.056146102,-6.150484858,0.05417235,-7.460447045,0.076408885,-8.095769024,0.081636412,0.09014907
39,-5.750842579,0.037335633,-6.962198214,0.069454393,-6.944980641,0.068722856,-7.145840911,0.066646819,0.097627757
40,-6.952107518,0.057396032,-6.035102551,0.053817755,-6.210691248,0.057685744,-8.084401931,0.079244655,0.105661462
41,-6.667420491,0.050617866,-6.435699938,0.060112946,-7.173134556,0.073630454,-8.158267935,0.082915387,0.093113488
42,-6.590185674,0.05063901,-6.671941082,0.060288801,-7.764437429,0.082862963,-8.045627409,0.080443641,0.09129485
43,-7.155081303,0.063178773,-6.30126749,0.05566455,-6.60167334,0.062204619,-7.43539949,0.069577432,0.100540825
44,-6.276093735,0.045772929,-6.507926872,0.059217729,-7.428493965,0.078959757,-7.736385551,0.074771701,0.106684763
45,-6.568570665,0.05257404,-6.690842102,0.064142569,-7.126420016,0.072737458,-8.923679504,0.097301644,0.10830699
46,-6.033590529,0.042312968,-7.404749398,0.076383112,-7.25957498,0.074141026,-7.89536825,0.080241581,0.096794125
47,-6.81873116,0.054827017,-6.810746194,0.066560381,-6.495363215,0.059842314,-8.173651946,0.081741975,0.090333593
48,-6.272505917,0.046917413,-6.810253689,0.064687395,-6.707747591,0.064373007,-7.98777569,0.079976556,0.12637389
49,-6.840133242,0.055525325,-6.352587939,0.058434075,-6.73476549,0.066676495,-9.751005619,0.110149755,0.097926444
50,-6.531222246,0.05218591,-6.71707643,0.065085235,-7.147127773,0.073189268,-8.246503723,0.084740981,0.113756813
