,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.373628015,0.046946658,-6.800368682,0.067169864,-7.342813021,0.077757744,-8.187021994,0.081675863,0.097789672
2,-5.04803098,0.042911817,-6.198785143,0.05648198,-7.036704006,0.071619805,-8.362201845,0.08579374,0.088452834
3,-5.845952974,0.056298484,-6.551710937,0.058806971,-6.866193985,0.06661029,-8.387631094,0.086545656,0.101810885
4,-5.82882893,0.05623729,-6.597639465,0.060133928,-6.552460794,0.062741656,-8.01497804,0.080689395,0.09895561
5,-5.029236663,0.0410558,-6.541787055,0.060614206,-7.330575755,0.075662439,-7.79478889,0.077758331,0.101759807
6,-5.56745545,0.053279571,-6.251837383,0.056444913,-7.08149324,0.07204604,-8.040761035,0.083425604,0.103342132
7,-5.794264461,0.055928008,-6.423277156,0.059571169,-6.854730076,0.066363788,-7.980059662,0.081089608,0.086928146
8,-5.498249895,0.049882659,-6.185464988,0.055167437,-6.899299191,0.068890291,-8.68061616,0.093248016,0.099960517
9,-5.782579354,0.056653352,-6.521955487,0.060850855,-6.623039103,0.063098955,-8.330141108,0.086875589,0.09723228
10,-5.932626158,0.055823263,-6.90868926,0.066845839,-7.237535495,0.073482488,-8.119083821,0.083738399,0.078501297
11,-5.445466433,0.049744631,-5.816015257,0.049383376,-6.928298401,0.069618139,-7.435314483,0.071704151,0.084906477
12,-6.023721471,0.059063779,-6.332105612,0.055431916,-7.599119701,0.080157429,-7.78909644,0.077552642,0.091897146
13,-5.909529359,0.05766779,-6.432658076,0.060316369,-7.073161861,0.073099637,-7.63876598,0.075980761,0.09061542
14,-5.295133435,0.044501298,-7.239077571,0.073931828,-6.729853825,0.065704341,-7.97996896,0.079036197,0.112563779
15,-5.935045629,0.056139245,-6.935826149,0.067368,-6.971518877,0.068904272,-7.861622944,0.075991969,0.089224208
16,-5.170681686,0.045489177,-5.672878438,0.045421518,-7.044663561,0.069795102,-9.610064859,0.105337021,0.107706954
17,-5.195524828,0.04486224,-6.38314202,0.058017456,-6.585378272,0.062417463,-8.242285479,0.08276279,0.114710886
18,-5.413634106,0.048490385,-6.669606533,0.062143464,-6.323615422,0.058710503,-7.813780145,0.074294568,0.110815329
19,-5.391079685,0.047854772,-6.510948279,0.059578823,-6.981653276,0.068925886,-7.915628201,0.075095746,0.107977631
