,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.835751745,0.048100346,-6.155727375,0.054845538,-6.16907941,0.057926616,-8.578699543,0.094045167,0.079215321
2,-5.789580891,0.045028651,-6.441595568,0.058759231,-6.898792009,0.067199845,-8.043966918,0.081236294,0.092878554
3,-5.715469778,0.046040252,-5.806389714,0.048047361,-6.619308042,0.063324283,-7.999324431,0.077135345,0.105850437
4,-5.938990148,0.04999998,-7.044504951,0.070212231,-6.962180067,0.071412506,-8.688005284,0.092633955,0.098470383
5,-6.048023139,0.050853124,-6.077999339,0.05221626,-6.739002657,0.065923761,-8.446773286,0.088121817,0.109920091
6,-5.721622194,0.044908922,-6.343200838,0.057969517,-6.699192969,0.064430516,-8.26934483,0.085445215,0.101358954
7,-6.217922585,0.052695246,-6.552784258,0.061936432,-7.109857933,0.073134968,-8.296228195,0.083096001,0.084674381
8,-6.241025672,0.054105111,-6.610213911,0.060636195,-6.727270666,0.065492611,-7.841987629,0.075042206,0.108793326
9,-5.872761298,0.045776295,-6.505198693,0.06051488,-6.728204861,0.064920419,-8.201532719,0.080890545,0.096857203
10,-5.764724616,0.04488888,-6.435102262,0.059459461,-6.852650257,0.067396136,-8.437362451,0.088052882,0.102722954
11,-6.735348518,0.0615787,-6.472593134,0.057682732,-6.738341999,0.065129568,-8.16803957,0.082898622,0.106904177
12,-6.339110854,0.056977911,-6.564297104,0.060610943,-7.227271597,0.07315371,-7.249479657,0.06633693,0.098218368
13,-6.459123812,0.05876656,-6.180287217,0.053903111,-6.93633052,0.067370265,-7.811881157,0.07549638,0.114724026
14,-5.72675963,0.04468956,-6.991699568,0.068250239,-6.555957436,0.060187155,-7.709549439,0.075100688,0.107353022
15,-6.643221895,0.061180994,-6.764862095,0.063980638,-6.974522301,0.067584078,-7.6471725,0.074739971,0.100535651
16,-6.225809502,0.052645948,-6.057457237,0.050875132,-7.427360328,0.077316119,-7.880469694,0.076716379,0.097668175
17,-5.667155783,0.044579506,-6.579112678,0.061382297,-7.209852668,0.074493115,-7.709407783,0.075651892,0.107734127
18,-6.54866374,0.059996843,-6.199598305,0.053522393,-7.354755588,0.076336673,-7.100832793,0.063060813,0.080314809
19,-6.060579789,0.047431615,-5.501757568,0.042365489,-7.211579628,0.073305389,-8.645501622,0.093091269,0.116190696
20,-5.963410897,0.050721785,-7.019907948,0.070345923,-7.243823719,0.077295818,-7.587289616,0.071810441,0.089527109
21,-5.741547095,0.046373399,-6.364504655,0.057573593,-7.13864994,0.071911752,-8.269949107,0.083559442,0.108028151
22,-6.211870373,0.05318098,-6.80950455,0.065857706,-7.11923375,0.071451219,-8.207774413,0.08353499,0.102760457
23,-6.086508476,0.053881527,-6.456413187,0.058844383,-7.010428449,0.069941483,-7.565185954,0.072073856,0.099338403
24,-6.065445217,0.052162981,-6.508773166,0.061298175,-7.61968625,0.081596808,-8.883585375,0.094709799,0.118307908
25,-6.078166327,0.052214309,-6.384577951,0.059610936,-8.093443405,0.08894608,-7.446996103,0.069411587,0.094075914
26,-6.006065126,0.049132219,-6.624794782,0.062695413,-7.206296242,0.071821304,-9.023474156,0.09732247,0.092313839
27,-6.242830499,0.05335753,-6.383471934,0.058440964,-7.018411676,0.070510658,-7.964642832,0.080150033,0.091456745
28,-5.37852231,0.039512412,-6.424742683,0.060379085,-7.783526964,0.085208978,-8.154304594,0.082372506,0.105857582
29,-5.985299714,0.048305106,-7.052425607,0.068439918,-7.174754118,0.071263148,-7.948957756,0.080174483,0.080105985
30,-5.768297186,0.046366932,-6.640302572,0.061505547,-6.789241829,0.064698999,-7.296953697,0.06761155,0.093492763
31,-5.859126086,0.046774229,-6.707531998,0.065393457,-6.99494879,0.070146217,-8.386584405,0.087283346,0.107382947
32,-5.99610484,0.050936717,-6.668725153,0.062370904,-7.07301092,0.070083853,-7.838832753,0.079541474,0.100434995
33,-6.032680367,0.050810041,-6.578353316,0.064061941,-6.599415845,0.0615858,-8.764397153,0.094718966,0.110354765
34,-5.986736581,0.049361778,-6.844214952,0.064700006,-7.089146528,0.068820105,-7.857855431,0.077409235,0.094891019
35,-5.869489766,0.048823537,-6.183817858,0.053264123,-7.159570145,0.075826143,-7.910575316,0.076441684,0.108825875
36,-5.88593259,0.048265968,-6.7074398,0.062764083,-6.941083413,0.069754012,-8.113299716,0.081775821,0.09958035
37,-5.893365141,0.047520779,-6.538606874,0.06077961,-6.584362698,0.064416166,-8.111427178,0.080705725,0.087697379
38,-5.995447622,0.051066543,-5.794834064,0.046181978,-6.488413141,0.064167704,-7.908720009,0.081045304,0.093607528
39,-5.761515209,0.046251142,-6.824621071,0.065206027,-7.881192485,0.088320523,-8.413531808,0.086627678,0.09583785
40,-5.8117686,0.048098633,-6.660318996,0.062066338,-6.861162742,0.068642006,-8.125230691,0.084084209,0.091627914
41,-6.193513225,0.05222368,-6.278393809,0.058482069,-7.12217112,0.073141304,-8.291136045,0.086346148,0.107989347
42,-6.685169961,0.063443933,-6.782504896,0.064978959,-6.595450458,0.061802635,-8.187993237,0.08393621,0.10502403
43,-6.215598204,0.053806587,-6.372009962,0.057643043,-7.676321335,0.084048241,-8.220277187,0.08215315,0.096290395
44,-6.196760213,0.052666685,-6.962882977,0.067053947,-6.851666479,0.063430498,-8.133290993,0.083300527,0.089397753
45,-5.418009883,0.038936297,-5.85530992,0.048949041,-6.664383852,0.064436016,-8.488296156,0.08994826,0.077061343
46,-6.559342917,0.059761854,-6.43349597,0.059964909,-7.120211866,0.072466554,-8.075496949,0.081699491,0.104009761
47,-6.500327468,0.059479728,-6.017081818,0.050733149,-6.790058293,0.06583659,-8.271750042,0.084345958,0.095189826
48,-5.690331346,0.043805092,-7.366095862,0.075588739,-7.301787805,0.075251423,-7.233782411,0.065696499,0.096063817
49,-6.013049987,0.050135942,-6.557041974,0.05941192,-6.830133838,0.068463343,-7.671236028,0.07370653,0.107840533
50,-6.264088408,0.057240455,-6.073598736,0.053631072,-6.930171566,0.06815642,-8.026929782,0.080842599,0.092232461
51,-6.189375292,0.054943132,-6.175096919,0.055966536,-6.88521875,0.070226605,-7.904483178,0.080483527,0.078501972
52,-5.789772619,0.045597215,-6.899366121,0.064814468,-7.199425703,0.071695575,-7.80604764,0.075208556,0.097364359
53,-6.276925799,0.057046679,-6.026106768,0.051573172,-7.106491878,0.070691382,-8.104074745,0.083354485,0.108257103
54,-5.907512147,0.050959457,-6.963916355,0.065615795,-6.719595872,0.064320454,-7.419130396,0.069180721,0.08944321
55,-5.895688784,0.048189016,-6.007473166,0.052431102,-7.433674775,0.078066822,-7.683840951,0.074701641,0.102422083
56,-6.641915163,0.064548979,-6.51164222,0.061819882,-7.146593704,0.07528826,-7.230212928,0.066589901,0.102520044
57,-6.297104533,0.056680498,-6.226599825,0.056356666,-6.494038752,0.060212252,-8.183594058,0.083178231,0.109017447
58,-5.676463434,0.042826861,-6.766070363,0.065416729,-6.882809785,0.067093711,-7.546843845,0.071297639,0.100097333
59,-5.550271265,0.042394282,-6.621508523,0.065139482,-7.177622772,0.073047867,-8.300519781,0.085688854,0.113774914
60,-5.770130858,0.046482677,-6.951721569,0.066790729,-6.846057036,0.067554969,-8.155718698,0.081472594,0.10848795
61,-6.716296956,0.062837646,-6.524971658,0.060025365,-7.226756338,0.077444007,-8.429246894,0.085732799,0.108151658
62,-6.152127991,0.054444029,-6.534640652,0.060275636,-6.571807494,0.061083267,-8.391993186,0.086726296,0.112299284
63,-6.117911649,0.049416611,-6.209196525,0.054399045,-7.065970789,0.069974103,-8.333965034,0.086332665,0.082898704
64,-6.22882773,0.052255016,-6.823933384,0.065120822,-6.772020781,0.066437959,-8.11793164,0.081796626,0.09839322
65,-6.323242451,0.053131855,-7.131776234,0.072580546,-6.615858075,0.063156081,-8.03763091,0.082482009,0.099603167
66,-5.998457591,0.051895735,-6.13076649,0.053615789,-7.376443617,0.077468903,-8.47792344,0.089874031,0.125142977
67,-6.109752463,0.052190757,-6.27209055,0.056015969,-7.053288233,0.070907998,-7.506905497,0.06832497,0.12446225
68,-6.533759429,0.060413725,-6.243916132,0.055223416,-8.252029817,0.092363846,-7.243840882,0.064999028,0.091855487
69,-6.365931442,0.058137666,-6.250016031,0.056572604,-7.194690959,0.073276641,-7.559000809,0.07320685,0.09903794
70,-6.04120967,0.050266349,-5.925110161,0.048488364,-6.994834195,0.069641217,-8.244904627,0.085443194,0.093888531
71,-5.683297884,0.041802636,-5.973045688,0.050355059,-6.549690621,0.060356699,-8.536662677,0.086147491,0.102800353
72,-5.697434212,0.041562153,-5.929319853,0.048479836,-6.861362072,0.068329743,-7.972586201,0.079899515,0.106521095
73,-5.13298286,0.033983796,-6.073829911,0.052517303,-7.145054234,0.071653251,-8.015155093,0.079201155,0.115466866
74,-6.637032813,0.06103078,-6.654715175,0.061265986,-6.748945349,0.065228418,-7.784889556,0.077347558,0.098942771
75,-5.886023758,0.048294115,-6.505290457,0.059247836,-6.515316158,0.064150839,-7.679961561,0.07446833,0.103926581
76,-5.702898674,0.043941178,-6.212291448,0.055417924,-6.876924888,0.067422146,-8.647230754,0.090989526,0.103614483
77,-5.74302732,0.042763312,-7.294131795,0.075270539,-6.95861131,0.070218449,-7.939940019,0.080890213,0.096881866
78,-5.778824182,0.046660452,-6.807621422,0.063716464,-7.38148831,0.07611615,-8.280958272,0.083729394,0.101671352
79,-5.722076108,0.047212666,-6.975254888,0.069153725,-6.505621701,0.062271816,-7.819537182,0.076801854,0.102286749
80,-5.696851871,0.045372784,-6.266473548,0.055427986,-6.999177897,0.069413653,-8.016248032,0.08004565,0.109848
81,-6.594786327,0.06099692,-6.559611876,0.061600669,-6.840698677,0.065611299,-7.583106439,0.072978421,0.088180865
82,-6.210881876,0.05503444,-5.886005375,0.049070119,-7.33402308,0.077328871,-8.552894739,0.089738264,0.10752631
83,-5.944942554,0.048430236,-5.907844866,0.048207706,-6.605698951,0.064305588,-8.695569618,0.095646776,0.116290227
84,-5.895407639,0.047947028,-7.192455566,0.07235767,-6.982934649,0.071308609,-8.38437574,0.084883909,0.097817311
85,-5.800876089,0.045906259,-6.314192672,0.05602168,-7.667664762,0.084605066,-7.679265956,0.073622803,0.110436094
86,-5.591537099,0.042827873,-6.139484833,0.05045596,-6.755285879,0.066112026,-8.223727274,0.083236086,0.101118731
87,-6.070536133,0.050801446,-6.167469908,0.056082322,-7.04363869,0.070760751,-6.986887671,0.064589562,0.097769201
88,-5.590229907,0.043002589,-5.766076398,0.046085793,-7.061940869,0.070165055,-8.070888087,0.079180802,0.117458426
89,-6.027474782,0.052753841,-6.159515947,0.055819092,-7.24792912,0.07506957,-8.14560139,0.080762223,0.097177104
90,-6.112828266,0.05251601,-6.758938867,0.063067296,-7.350327033,0.07669925,-7.840344169,0.075016155,0.089837266
91,-5.943721043,0.049008885,-6.450966963,0.058844829,-7.244991575,0.073694735,-8.094678701,0.078617958,0.115325871
92,-6.598589282,0.05948775,-7.448119436,0.075982827,-7.146438858,0.072991097,-7.816672913,0.075583983,0.103578636
93,-6.430224298,0.057491964,-6.811408814,0.064809463,-7.433768732,0.08044092,-7.474490382,0.071711857,0.09893127
94,-5.983047207,0.049707038,-6.443566244,0.060299251,-6.617886556,0.061977697,-7.842372544,0.078856283,0.087233483
95,-5.870954178,0.046087048,-6.783237659,0.065802289,-6.965042231,0.069653584,-8.407288696,0.088106832,0.100331346
96,-6.314727252,0.054972263,-6.550233023,0.061032485,-7.61078398,0.081862279,-8.411861157,0.08900115,0.104742215
97,-5.748383966,0.045499515,-6.849660395,0.067052214,-6.531365429,0.061285923,-7.451049005,0.070414281,0.102273707
98,-5.885089088,0.04813581,-6.578150616,0.060715103,-6.611128261,0.062476542,-7.761096862,0.074965307,0.123664176
99,-5.593762896,0.041662718,-6.194228317,0.054761889,-6.96677194,0.071104188,-7.197653383,0.066164208,0.108584257
100,-5.958227085,0.048211634,-6.255222109,0.055630636,-6.984389387,0.067934659,-7.497856988,0.069281717,0.079480747
101,-6.760853504,0.064185538,-6.664612379,0.062814696,-7.08355904,0.069182475,-7.677103568,0.075327066,0.094242737
102,-5.948478832,0.048715799,-6.361630337,0.056422883,-7.124413705,0.071669835,-8.055219477,0.081670125,0.093637385
103,-5.668264788,0.044300543,-6.229687083,0.054903162,-6.741769251,0.064649906,-7.950810553,0.078891943,0.091996167
104,-6.32434263,0.054137365,-6.972792084,0.068120929,-6.894400324,0.066719281,-8.04202765,0.080525233,0.100071555
105,-5.829024649,0.047679426,-6.656105474,0.06440265,-6.706875506,0.064980408,-8.068567932,0.080335148,0.091299735
106,-5.802670223,0.045817293,-6.020286309,0.0510936,-6.579632964,0.063245283,-7.198113423,0.066080667,0.088015082
107,-5.825826015,0.047204874,-6.047411047,0.052789561,-7.493799312,0.079963734,-8.210067243,0.084892645,0.107536717
108,-5.516174893,0.040563054,-6.637662764,0.061394069,-7.483095441,0.078591188,-7.690676713,0.073308726,0.104962713
109,-6.108479663,0.053269765,-6.399733515,0.057554112,-7.39385503,0.076673079,-7.642834467,0.07519707,0.086124202
110,-5.877985996,0.047205787,-6.216275159,0.053838247,-7.240955028,0.075798618,-7.541070661,0.072088391,0.109065099
111,-6.13069208,0.049342305,-6.851738223,0.066462417,-6.813974735,0.064097682,-8.22551862,0.081759747,0.105859405
112,-6.011423152,0.048602503,-6.71355377,0.064546875,-7.024532963,0.069368768,-7.708810535,0.07426907,0.112862479
113,-6.301927016,0.054964101,-6.390312241,0.057250573,-6.372207504,0.059761597,-7.797771401,0.077309285,0.091312038
114,-5.986909576,0.049751885,-6.939245551,0.068266993,-6.515935941,0.062954268,-8.167036892,0.08290392,0.110817002
115,-5.981064309,0.049348478,-6.344338983,0.054574289,-7.532372195,0.077707196,-7.841594317,0.075246441,0.095669032
116,-5.571771495,0.042339868,-5.971766702,0.049443684,-6.608587529,0.060734596,-8.062572613,0.082631981,0.080062785
117,-5.907533904,0.048514866,-6.489719282,0.059067702,-7.26163782,0.076043775,-8.841751771,0.094435825,0.100348346
118,-6.144682173,0.049517882,-6.846700534,0.066930025,-6.838249122,0.067535283,-8.215019057,0.083712345,0.099634348
119,-6.260100758,0.056708883,-6.12834412,0.054719507,-7.865975943,0.084148301,-7.173461165,0.067329602,0.112604931
120,-5.713870603,0.046124804,-6.523661254,0.058272431,-6.722610122,0.065562753,-8.062355155,0.080605687,0.086685395
121,-6.35023407,0.057269097,-6.437234735,0.061169414,-6.958537977,0.072389845,-7.911510802,0.079829116,0.102101788
122,-5.823468446,0.048705622,-6.549291208,0.063582124,-7.423304286,0.079044505,-8.154062302,0.082872445,0.106008635
123,-6.052400392,0.049923289,-6.131652601,0.055036512,-6.581620554,0.061248501,-8.084341828,0.081411412,0.095530965
124,-6.057164044,0.050527262,-6.808866466,0.065313525,-6.827203245,0.064893387,-7.893993925,0.079291772,0.096645971
125,-5.965037663,0.049115938,-6.655611721,0.065401458,-7.426885248,0.074725328,-8.364272857,0.084613762,0.113721162
126,-6.040405261,0.048921691,-6.342872662,0.058165731,-7.33326269,0.075242324,-8.297851129,0.086652113,0.090375672
127,-5.277920719,0.037040684,-7.201873381,0.071186965,-6.624167993,0.063863312,-8.513995068,0.088943324,0.090359924
128,-6.141542985,0.051795957,-5.901104151,0.050345094,-7.351118264,0.077965232,-8.540443155,0.090602632,0.071877683
129,-6.23084736,0.052059723,-6.084327561,0.052077727,-6.900767593,0.06785542,-8.645866299,0.09183346,0.087091531
130,-5.954395653,0.049263423,-6.66908644,0.061992546,-6.578413542,0.064466058,-8.037930255,0.081639214,0.114632742
131,-5.5533196,0.044788478,-6.701030368,0.06489169,-7.197505028,0.074204144,-8.244373356,0.084739272,0.11390532
132,-6.351299128,0.056346359,-6.608345199,0.064000363,-6.581209387,0.063147208,-8.344670953,0.085924625,0.109379831
133,-6.828519305,0.066203667,-6.549190384,0.06160232,-7.890164353,0.086440317,-8.63435767,0.093743896,0.109938762
134,-6.397479199,0.056961527,-6.00364443,0.049977502,-6.601096559,0.061966956,-8.011471226,0.08145585,0.108937852
135,-6.024772832,0.050366267,-6.200187201,0.05531502,-6.923997845,0.069243194,-7.772589403,0.075415191,0.073698643
136,-6.33046484,0.054596392,-6.786862678,0.063833399,-7.44768521,0.077310409,-7.528247992,0.072595233,0.119126715
137,-6.51825857,0.059697274,-6.481043869,0.06074906,-7.513538722,0.078992416,-8.455567316,0.087719352,0.105028674
138,-5.907145228,0.048311029,-6.591831215,0.059326388,-6.651953387,0.064360957,-7.418216352,0.068819985,0.105196656
139,-6.097967774,0.051521163,-7.108497268,0.070552053,-7.194493108,0.073455265,-7.747665947,0.073091051,0.098936856
140,-5.994713588,0.04704905,-6.901367739,0.0673594,-7.009107871,0.071077239,-8.495508067,0.088007974,0.10005663
141,-6.031801015,0.051778466,-6.975002373,0.067340425,-7.423664092,0.076305687,-8.174461632,0.083541284,0.082514517
142,-5.699187507,0.045113037,-6.668021933,0.064526049,-7.045294744,0.073015598,-7.217213412,0.066858006,0.102311617
143,-6.25484253,0.055160287,-5.663308829,0.043882663,-7.245606785,0.073753574,-8.503119702,0.087725634,0.095780844
144,-6.763005228,0.063896564,-5.947706526,0.047882055,-7.227895042,0.074693962,-7.827829212,0.076840922,0.097083981
145,-6.22621909,0.053211883,-6.8747105,0.067600427,-6.608604438,0.064347644,-7.960980388,0.081654366,0.101779594
146,-5.655789478,0.045182194,-6.653497377,0.06433893,-6.887506794,0.06866517,-7.429039117,0.070787571,0.098532785
147,-5.544611445,0.041231478,-6.792405901,0.064596681,-7.802727181,0.085966988,-8.106685728,0.082062946,0.088751169
148,-5.947891346,0.048021878,-6.491198411,0.059741685,-7.310513786,0.075946541,-8.676974817,0.093352023,0.095487732
149,-6.091020256,0.052476299,-6.36334148,0.057677798,-7.300698988,0.075679317,-7.535061083,0.070166442,0.112879652
150,-5.869367789,0.049313469,-5.977903462,0.050523526,-7.756872346,0.082786434,-8.216287631,0.08272534,0.118635696
151,-6.091671729,0.051337181,-6.974067153,0.06772832,-6.846341685,0.066024198,-8.635154843,0.0910077,0.095558968
152,-5.751445611,0.044835246,-6.225643963,0.0545049,-6.655865608,0.062488298,-8.738103753,0.094437552,0.105311284
153,-5.892298708,0.047845726,-6.189699956,0.052778131,-6.522342605,0.060128038,-7.797595674,0.074524623,0.097757476
154,-5.869592548,0.04733024,-6.584820154,0.062101365,-7.705884365,0.083984677,-8.721893923,0.091746671,0.113208377
155,-5.77017681,0.046012167,-6.424687877,0.059695328,-7.135430697,0.07222795,-7.631534529,0.073531015,0.090884752
156,-5.87694335,0.048483012,-6.608193787,0.063052404,-7.107151807,0.072208823,-8.878013322,0.09522803,0.089326789
157,-5.559618888,0.040506855,-6.872469456,0.06663824,-6.992710971,0.070400551,-8.552849003,0.090159388,0.08449412
158,-5.538191741,0.040600647,-6.773719156,0.065942327,-7.808408458,0.081253754,-7.953946717,0.08231654,0.105287965
159,-6.087351394,0.050323247,-6.367581852,0.058284443,-5.802410939,0.047705587,-7.644341286,0.07428023,0.088406996
160,-5.582516338,0.044358716,-7.11925646,0.068869137,-6.87806579,0.066901239,-7.163786457,0.065728999,0.115245583
161,-6.12055835,0.052790657,-6.559732637,0.060355724,-7.221888608,0.075459048,-7.771528982,0.075730684,0.100855167
